fichier;nature;numéro;date;année;sens;extrait
CONSTEXT000037070309.xml;AN;2018-5626;2018-06-01;2018;Rejet;1-884 du 27 juillet 2011 relative aux collectivités territoriales de Guyane et de Martinique ,#- le code électoral ,#- le code général des collectivités territoriales ,#- le règlement applicable à la procédure 
CONSTEXT000037070310.xml;QPC;2018-703;2018-05-04;2018;Non conformité totale;
CONSTEXT000037070311.xml;QPC;2018-704;2018-05-04;2018;Conformité;
CONSTEXT000037070312.xml;QPC;2018-708;2018-06-01;2018;Conformité;
CONSTEXT000037070313.xml;QPC;2018-709;2018-06-01;2018;Non conformité partielle;
CONSTEXT000037070314.xml;QPC;2018-710;2018-06-01;2018;Conformité - réserve;
CONSTEXT000037070315.xml;QPC;2018-711;2018-06-08;2018;Conformité;
CONSTEXT000037070316.xml;QPC;2018-712;2018-06-08;2018;Non conformité totale;
CONSTEXT000037089077.xml;QPC;2018-705;2018-05-18;2018;Conformité;
CONSTEXT000037089078.xml;QPC;2018-706;2018-05-18;2018;Conformité;
CONSTEXT000037148521.xml;QPC;2018-715;2018-06-22;2018;Non conformité partielle - effet différé;
CONSTEXT000037148522.xml;QPC;2018-716;2018-06-29;2018;Conformité;
CONSTEXT000037148523.xml;DC04;2018-765;2018-06-12;2018;Non conformité partielle;
CONSTEXT000037434558.xml;AN;2018-5662;2018-09-21;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000037434560.xml;QPC;2018-717/718;2018-07-06;2018;Non conformité partielle - effet différé - réserve;
CONSTEXT000037434561.xml;QPC;2018-719;2018-07-13;2018;Conformité;
CONSTEXT000037434562.xml;QPC;2018-720/721/722/723/724/725/726;2018-07-13;2018;Non conformité totale;
CONSTEXT000037434565.xml;QPC;2018-729;2018-09-07;2018;Conformité;
CONSTEXT000037434567.xml;QPC;2018-731;2018-09-14;2018;Conformité;
CONSTEXT000037434568.xml;QPC;2018-732;2018-09-21;2018;Conformité;
CONSTEXT000037434571.xml;DC04;2018-768;2018-07-26;2018;Conformité;
CONSTEXT000037434572.xml;DC04;2018-769;2018-09-04;2018;Non conformité partielle;
CONSTEXT000037434573.xml;DC04;2018-770;2018-09-06;2018;Non conformité partielle - réserve;
CONSTEXT000037554781.xml;QPC;2018-734;2018-09-27;2018;Conformité;
CONSTEXT000037554782.xml;QPC;2018-735;2018-09-27;2018;Conformité - réserve;
CONSTEXT000037554783.xml;QPC;2018-736;2018-10-05;2018;Conformité;
CONSTEXT000037554785.xml;QPC;2018-738;2018-10-11;2018;Conformité;
CONSTEXT000037554786.xml;QPC;2018-739;2018-10-12;2018;Non conformité totale - effet différé - réserve transitoire;
CONSTEXT000037554787.xml;QPC;2018-740;2018-10-19;2018;Conformité - réserve;
CONSTEXT000037554788.xml;QPC;2018-741;2018-10-19;2018;Conformité;
CONSTEXT000037554789.xml;QPC;2018-742;2018-10-26;2018;Conformité;
CONSTEXT000037554790.xml;QPC;2018-743;2018-10-26;2018;Conformité;
CONSTEXT000038016809.xml;QPC;2018-746;2018-11-23;2018;Conformité;
CONSTEXT000038016812.xml;QPC;2018-749;2018-11-30;2018;Conformité;
CONSTEXT000038016813.xml;QPC;2018-750/751;2018-12-07;2018;Conformité;
CONSTEXT000038016814.xml;QPC;2018-752;2018-12-07;2018;Conformité;
CONSTEXT000038016815.xml;QPC;2018-753;2018-12-14;2018;Conformité;
CONSTEXT000038016816.xml;QPC;2018-754;2018-12-14;2018;Conformité;
CONSTEXT000038016817.xml;DC04;2018-771;2018-10-25;2018;Non conformité partielle;
CONSTEXT000038016818.xml;DC04;2018-772;2018-11-15;2018;Non conformité partielle;
CONSTEXT000038016819.xml;DC04;2018-775;2018-12-10;2018;Conformité;
CONSTEXT000038016820.xml;DC04;2018-773;2018-12-20;2018;Conformité - réserve;cision du Conseil constitutionnel n° 2018-774 DC du 20 décembre 2018 ,#- le code de commerce ,#- le code électoral ,#- le code des relations entre le public et l'administration ,#- la loi n° 86-1067 du 30 septe
CONSTEXT000038016822.xml;DC04;2018-776;2018-12-21;2018;Non conformité partielle;
CONSTEXT000038016823.xml;DC04;2018-777;2018-12-28;2018;Non conformité partielle;
CONSTEXT000038016824.xml;QPC;2018-755;2019-01-15;2019;Conformité;
CONSTEXT000038472138.xml;QPC;2018-756;2019-01-17;2019;Conformité;
CONSTEXT000038472140.xml;QPC;2018-757;2019-01-25;2019;Non conformité totale;
CONSTEXT000038472142.xml;QPC;2018-758/759/760;2019-01-31;2019;Conformité;
CONSTEXT000038472144.xml;QPC;2018-761;2019-02-01;2019;Conformité;
CONSTEXT000038472146.xml;QPC;2018-762;2019-02-08;2019;Non conformité totale - effet différé;
CONSTEXT000038472148.xml;QPC;2018-763;2019-02-08;2019;Non conformité totale - effet différé - réserve transitoire;
CONSTEXT000038472152.xml;QPC;2018-766;2019-02-22;2019;Conformité;
CONSTEXT000038472153.xml;QPC;2018-767;2019-02-22;2019;Conformité;
CONSTEXT000038472154.xml;QPC;2018-768;2019-03-21;2019;Conformité;
CONSTEXT000038472155.xml;ELEC;2019-28;2019-02-21;2019;;oire préalable, la question prioritaire de constitutionnalité (QPC) portant sur l'article L. 123 du code électoral dont il était saisi à l'occasion de la contestation d'une élection. Il a considéré que cette QP
CONSTEXT000038472156.xml;QPC;2019-769;2019-03-22;2019;Conformité;
CONSTEXT000038472158.xml;QPC;2019-771;2019-03-29;2019;Conformité;
CONSTEXT000038472160.xml;QPC;2019-772;2019-04-05;2019;Non conformité partielle;
CONSTEXT000038472164.xml;QPC;2019-774;2019-04-12;2019;Non conformité partielle;
CONSTEXT000038472165.xml;QPC;2019-775;2019-04-12;2019;Conformité;
CONSTEXT000038472166.xml;QPC;2019-776;2019-04-19;2019;Conformité;
CONSTEXT000038472167.xml;QPC;2019-777;2019-04-19;2019;Non conformité totale;
CONSTEXT000038472169.xml;DC04;2019-778;2019-03-21;2019;Non conformité partielle - réserve;
